time	V(cmp_out)	V(filt_out)	V(vin_sensor)
9.576915045417734e-01	3.300093e+00	1.484090e+00	1.494300e-01
9.665486473989163e-01	3.300420e+00	1.579931e+00	1.590745e-01
9.754057902560592e-01	3.300514e+00	1.681495e+00	1.692786e-01
9.842629331132020e-01	3.300373e+00	1.788784e+00	1.800421e-01
9.931200759703449e-01	3.300000e+00	1.901796e+00	1.913652e-01
1.003120075970344e+00	3.300000e+00	2.031990e+00	2.043881e-01
1.013120075970343e+00	3.300000e+00	2.156993e+00	2.168745e-01
1.023120075970342e+00	3.300000e+00	2.276806e+00	2.288245e-01
1.033120075970341e+00	3.300000e+00	2.391428e+00	2.402379e-01
1.043120075970340e+00	3.300000e+00	2.500859e+00	2.511149e-01
1.053120075970339e+00	3.300000e+00	2.605099e+00	2.614555e-01
1.063120075970338e+00	3.300000e+00	2.704148e+00	2.712595e-01
1.072548647398908e+00	3.300000e+00	2.784842e+00	2.792192e-01
1.081977218827479e+00	3.300000e+00	2.852685e+00	2.858879e-01
1.091405790256049e+00	3.300000e+00	2.907679e+00	2.912655e-01
1.100834361684619e+00	3.300000e+00	2.949822e+00	2.953522e-01
1.110262933113190e+00	3.300000e+00	2.979115e+00	2.981478e-01
1.119691504541760e+00	3.300000e+00	2.995558e+00	2.996524e-01
1.129120075970331e+00	3.300000e+00	2.999151e+00	2.998660e-01
1.138834361684615e+00	3.300000e+00	2.985064e+00	2.983079e-01
1.148548647398900e+00	3.300000e+00	2.957902e+00	2.954501e-01
1.158262933113185e+00	3.300000e+00	2.917666e+00	2.912928e-01
1.167977218827469e+00	3.300000e+00	2.864355e+00	2.858358e-01
1.177691504541754e+00	3.300000e+00	2.797969e+00	2.790792e-01
1.187405790256038e+00	3.300000e+00	2.718508e+00	2.710231e-01
1.197120075970323e+00	3.300000e+00	2.625972e+00	2.616673e-01
1.206834361684608e+00	3.300000e+00	2.522074e+00	2.511922e-01
1.216548647398892e+00	3.300000e+00	2.414566e+00	2.403729e-01
1.226262933113177e+00	3.300000e+00	2.303446e+00	2.292094e-01
1.235977218827462e+00	3.300000e+00	2.188716e+00	2.177018e-01
1.245691504541746e+00	3.300000e+00	2.070374e+00	2.058499e-01
1.255405790256031e+00	3.300000e+00	1.948422e+00	1.936539e-01
1.265120075970316e+00	3.300000e+00	1.822858e+00	1.811137e-01
1.272977218827458e+00	3.300000e+00	1.724592e+00	1.713150e-01
1.280834361684600e+00	3.300000e+00	1.631145e+00	1.620082e-01
1.288691504541742e+00	3.300000e+00	1.542517e+00	1.531933e-01
1.296548647398884e+00	3.300000e+00	1.458709e+00	1.448703e-01
1.304405790256026e+00	3.300000e+00	1.379721e+00	1.370392e-01
1.312262933113168e+00	3.299999e+00	1.305552e+00	1.296999e-01
1.320120075970310e+00	3.299998e+00	1.236202e+00	1.228526e-01
1.321120075970309e+00	3.285672e+00	1.228153e+00	1.220591e-01
1.321245075970309e+00	3.272267e+00	1.227156e+00	1.219608e-01
1.321495075970309e+00	3.197882e+00	1.225166e+00	1.217648e-01
1.321998075970309e+00	2.270349e+00	1.221186e+00	1.213726e-01
1.322017933113167e+00	2.194341e+00	1.221030e+00	1.213572e-01
1.322037790256024e+00	2.116531e+00	1.220873e+00	1.213418e-01
1.322057647398881e+00	2.036918e+00	1.220717e+00	1.213264e-01
1.322077504541738e+00	1.955503e+00	1.220560e+00	1.213110e-01
1.322097361684595e+00	1.872286e+00	1.220404e+00	1.212956e-01
1.322117218827452e+00	1.787266e+00	1.220248e+00	1.212802e-01
1.322137075970309e+00	1.700444e+00	1.220092e+00	1.212648e-01
1.322153075970309e+00	1.679820e+00	1.219966e+00	1.212524e-01
1.322249075970309e+00	1.668266e+00	1.219212e+00	1.211782e-01
1.323145075970309e+00	1.657100e+00	1.212227e+00	1.204903e-01
1.323649933113167e+00	1.654905e+00	1.208335e+00	1.201071e-01
1.324154790256024e+00	1.652675e+00	1.204476e+00	1.197271e-01
1.324659647398881e+00	1.650411e+00	1.200649e+00	1.193504e-01
1.325164504541738e+00	1.648112e+00	1.196854e+00	1.189770e-01
1.325669361684595e+00	1.645778e+00	1.193091e+00	1.186068e-01
1.326174218827452e+00	1.643410e+00	1.189360e+00	1.182399e-01
1.326679075970309e+00	1.641007e+00	1.185662e+00	1.178762e-01
1.327316075970309e+00	1.632949e+00	1.181044e+00	1.174221e-01
1.327567075970309e+00	1.239743e+00	1.179238e+00	1.172446e-01
1.327612361684595e+00	1.075734e+00	1.178913e+00	1.172127e-01
1.327657647398881e+00	9.257541e-01	1.178589e+00	1.171808e-01
1.327702933113166e+00	7.898029e-01	1.178264e+00	1.171489e-01
1.327748218827452e+00	6.678805e-01	1.177940e+00	1.171170e-01
1.327793504541738e+00	5.599870e-01	1.177616e+00	1.170852e-01
1.327838790256023e+00	4.661223e-01	1.177292e+00	1.170534e-01
1.327884075970309e+00	3.862864e-01	1.176969e+00	1.170216e-01
1.327948075970309e+00	2.939584e-01	1.176513e+00	1.169768e-01
1.328076075970309e+00	1.668748e-01	1.175601e+00	1.168872e-01
1.328332075970309e+00	5.154606e-02	1.173785e+00	1.167087e-01
1.328844075970309e+00	4.721501e-03	1.170178e+00	1.163544e-01
1.329844075970309e+00	4.610699e-05	1.163232e+00	1.156724e-01
1.330844075970309e+00	4.910385e-07	1.156419e+00	1.150036e-01
1.339986933113165e+00	2.705800e-07	1.099625e+00	1.094481e-01
1.349129790256021e+00	1.002248e-07	1.055652e+00	1.051772e-01
1.358272647398877e+00	-2.002697e-08	1.024501e+00	1.021911e-01
1.367415504541733e+00	-9.017533e-08	1.006172e+00	1.004896e-01
1.376558361684590e+00	-1.102203e-07	1.000664e+00	1.000727e-01
1.385701218827446e+00	-8.016185e-08	1.007978e+00	1.009406e-01
1.394844075970302e+00	0.000000e+00	1.028114e+00	1.030931e-01
1.398558361684587e+00	-2.026116e-09	1.040241e+00	1.043599e-01
1.402272647398872e+00	-2.784019e-09	1.054369e+00	1.058256e-01
1.405986933113158e+00	-2.273709e-09	1.070498e+00	1.074904e-01
